Sample,MG_name,latitude,longitude,Date.x,Index,Location,Pl_Sp,EWcoastGroup,SALTgroup,LU,Depth,Salinity.x,Core_Weight_oz,Temp,Conductivity,CO2_uM_m2_s,CH4_uM_m2_s,CO2_mg_m2_h,CH4_ug_m2_h,CH4_ppm_s,CO2_ppm_s,D1_Read_count,iTag_name.x,Part_DM,pH,Cl,SO4,OM_LOI,Corg_LOI,N,C,NO3_N,NH4_N,Olsen_P,P,Zn,Mn,Fe,Cu,EW.no,SampNO,PW_LABEL,Salinity.y,DOC_mg_L,NO2_pw,PO4_pw,SO4_pw,NO3_pw,NO2_pw.1,Cl_pw,Br_pw,F_pw,Na_pw,Mg_pw,Ca_pw,K_pw,Sr_pw,Fe_pw,Mn_pw,Al_pw,Si_pw,Co_pw,Cu_pw,Zn_pw
MayberryNW_CattailC_D2,MayberryNW_CattailC_D2,38.052416,-121.76907,10/9/2013,114,MayberryNW,Cattail,SF_Rest,Oligo,Pond,d2,3.2,12.4,16.8,4920,99.40803818,5.812950443,16.26307373,1304.652219,0.142677114,2.439940299,133087,s114_MayberryNW_CattailC_D2,52.1,6.37,60.94,34,26,15.08,1.049,15.24,NA,15.72,16.9,0.09,63,472,30990,43,114,s114,W76,3.18,94.79,NA,NA,23.5405,0.4365,NA,1552.917,7.3225,0.892,743017.54,124685.81,193011.09,14087.7,1780.33,119.59,36.14,24.41,9083.47,1.44,10.28,NA
Browns_TuleA_D2,Browns_TuleA_D2,38.04565,-121.866287,9/7/2013,115,Browns Island,Tule,SF_Ref,Oligo,Ref,d2,2.601674251,13,22.5,4616,6.677983546,0.004864347,1.092512646,1.091748797,0.000119394,0.163909091,NA,s115_Browns_TuleA_D2,41.7,5.74,62.39,106,10.47,6.07,0.389,5.39,0.25,15.64,24.8,0.09,120,927,42340,62,115,s115,W23,2.6,9.053,0.8,NA,173.628,NA,0.8,1410.092,4.468,0.276,701808.98,94484.69,74944.69,19522.06,699.85,840.98,8536.98,20.28,12061.2,5.16,13.35,8.48
Browns_TuleB_D2,Browns_TuleB_D2,38.04565,-121.866287,9/7/2013,116,Browns Island,Tule,SF_Ref,Oligo,Ref,d2,2.879273163,12.2,23.3,5163,16.51505397,0.00824754,2.701849321,1.851068939,0.000202433,0.405357016,155712,s116_Browns_TuleB_D2,37.4,5.66,80.26,134.7,12.22,7.09,0.411,5.92,0.56,8.68,18.8,0.094,116,1315,43100,61,116,s116,W24,2.88,8.675,2.6365,NA,197.094,1.6995,2.6365,1472.661,4.777,0.41,719536.26,84484.99,61483.98,19647.19,534.32,43.23,17.23,21.09,9866.08,0.22,15.07,6.84
Browns_TuleC_D2,Browns_TuleC_D2,38.04565,-121.866287,9/7/2013,117,Browns Island,Tule,SF_Ref,Oligo,Ref,d2,2.741693348,12.6,22.9,4890,5.910431903,0.003482019,0.966941824,0.781500622,8.55E-05,0.145069767,178925,s117_Browns_TuleC_D2,34.8,6.13,73.58,128.2,11.06,6.42,0.397,5.78,NA,10.58,10.3,0.074,115,425,33960,63,117,s117,W25,2.74,8.609,3.3435,NA,205.3085,2.044,3.3435,1815.0105,5.843,0.231,870858.57,107983.69,74802.18,22817.17,707.15,7.32,0.71,17.8,9152.4,0.17,17.08,5.9
Browns_ThreeSqA_D2,Browns_ThreeSqA_D2,38.045666,-121.866516,9/7/2013,118,Browns Island,ThreeSq,SF_Ref,Oligo,Ref,d2,4.865336514,12,20.7,7981,69.40605887,0.013220452,11.35477446,2.967183697,0.000324492,1.70355077,153798,s118_Browns_ThreeSqA_D2,33.7,6.05,98.67,175,14.35,8.32,0.5,7.18,0.42,28.53,22,0.095,113,621,40070,57,118,s118,W20,4.87,10.51,1.688,1.656,61.612,NA,1.688,1575.502,4.902,0.148,740570.67,100411.18,72503.11,11945.29,685.37,429.71,1572.14,18.98,9933.09,0.41,11.7,1.24
Browns_ThreeSqB_D2,Browns_ThreeSqB_D2,38.045666,-121.866516,9/7/2013,119,Browns Island,ThreeSq,SF_Ref,Oligo,Ref,d2,4.348960689,12,19.9,7064,22.42447327,0.00450913,3.668625483,1.012024245,0.000110675,0.550401929,171841,s119_Browns_ThreeSqB_D2,36.5,5.93,82.06,156.8,12.54,7.27,0.459,6.43,0.25,13.87,8.5,0.081,122,514,41180,61,119,s119,W21,4.35,19.96,NA,6.744,22.508,NA,NA,1593.292,5.7615,0.446,735115.74,103892.89,74038.84,13579.15,713.44,444.01,2940.1,22.82,13861.75,0.46,11.57,NA
Browns_ThreeSqC_D2,Browns_ThreeSqC_D2,38.045666,-121.866516,9/7/2013,120,Browns Island,ThreeSq,SF_Rest,Oligo,Ref,d2,4.143776503,12.2,20,6767,7.389017064,-0.000173914,1.208837148,-0.039032977,-4.27E-06,0.181361194,173223,s120_Browns_ThreeSqC_D2,37.3,5.98,93.98,141.9,12.44,7.22,0.461,6.51,0.6,19.2,17.6,0.088,121,487,43760,63,120,s120,W22,4.14,19.15,NA,3.1545,8.8065,NA,NA,1488.093,5.8125,0.456,701542.46,100987.7,72569.68,15138.08,660.33,266.77,5699.23,17.96,14472.26,0.48,11.23,NA
RushMan_CattailNLA_D2,RushMan_CattailNLA_D2,38.209923,-122.033409,9/19/2013,121,RushRanch_managed,T_augustfolia,SF_Rest,Meso,Restored,d2,8.155155217,11.6,20.1,12727,31.38608665,0.13102626,5.134738102,29.40738992,0.003216,0.770362025,136017,s121_RushMan_CattailNLA_D2,19.5,6.27,236.74,629.6,27.95,16.21,0.848,15.5,0.71,45.93,9,0.07,102,417,40570,53,121,s121,W53,8.16,10.64,2.098,NA,424.22,NA,2.098,1898.716,5.618,0.212,1017459.48,109434.21,77463.11,29406.96,796.26,24.76,634.84,18.56,10213.22,3.17,11.85,36.7
RushMan_CattailNLB_D2,RushMan_CattailNLB_D2,38.209923,-122.033409,9/19/2013,122,RushRanch_managed,T_augustfolia,SF_Rest,Meso,Restored,d2,7.731226222,13,19.9,12061,15.8405615,0.109748293,2.591502904,24.63178651,0.002693739,0.388801802,145353,s122_RushMan_CattailNLB_D2,28.2,6.44,206.7,434.2,24.58,14.26,0.866,13.9,0.29,32.92,11.5,0.058,80,270,28650,48,122,s122,W54,7.73,17.77,1.238,NA,444.71,NA,1.238,3371.94,9.732,0.378,1713573.29,199451.38,110713.13,54383.25,1450.55,44.13,623.05,31.94,15192.38,1.17,18.58,25.84
RushMan_CattailNLC_D2,RushMan_CattailNLC_D2,38.209923,-122.033409,9/19/2013,123,RushRanch_managed,T_augustfolia,SF_Rest,Meso,Restored,d2,8.391195087,12.8,20.3,13124,9.176565251,0.031120812,1.501278568,6.984720829,0.000763851,0.225236025,131328,s123_RushMan_CattailNLC_D2,21.4,6.6,233.85,629.3,19.98,11.59,0.606,10.56,0.71,32.34,9.8,0.061,114,437,44950,63,123,s123,W55,8.39,21.41,2.252,NA,395.166,NA,2.252,3136.694,9.402,0.394,1586049.41,191270.71,111180.37,50598.08,1372.5,239.08,723.68,23.69,14675.03,0.95,16.73,20.19
