Number,Tract,Point,Depth,Area,Moisture,pH,FeII_mmol,FeT_mmol,FeII_mg.g,FeT_mg.g,FeIII_mg.g,FePC_mg.g,Al_mg.g,N,C
45,T2,P3,0-15,West Pond,0.83286119,6.23,0.24741268,0.079862123,0.467939689,0.151045844,0,0,0,2.14,41.625
47,T2,P4,0-15,West Pond,0.820247934,6.4,0.287177508,0.188321343,0.606958566,0.398022996,0,0,0,2.004206061,40.53272629
49,T2,P5,0-15,West Pond,0.809968847,6.28,0.400834595,0.241068814,0.674419643,0.405607563,0,0,0,1.95,38.025
51,T3,P1,0-15,West Pond,0.824817518,6.3,0.279948412,0.217786354,0.811324324,0.63117117,0,0.02815906,0,1.815,43.635
53,T3,P2,0-15,West Pond,0.82570594,6.41,0.357366368,1.286988751,0.848197856,3.054627405,2.206429549,0.017681664,0,2.179234266,37.40044403
55,T3,P3,0-15,West Pond,0.825413223,6.68,0.460798257,0.23513189,0.909880409,0.464285395,0,0.009891988,0,2.17,38.98
57,T3,P4,0-15,West Pond,0.802970297,6.79,0.497635401,-0.007717652,0.890855076,-0.013815957,0,0.004300984,0,1.65,40.075
59,T3,P5,0-15,West Pond,,6.34,0.516131569,0.512190534,0.73935592,0.733710407,0,0.004849961,0,2.35,41.045
2,T1,P1,15-30,East End,0.368725869,5.22,17.75168891,20.19211601,23.674985,26.92972179,3.254736788,0.33907866,0.05099599,0.75,11.175
4,T1,P2,15-30,East End,0.322613065,5.63,31.14431091,45.51728195,13.28112977,19.41031638,6.129186614,0.214432097,0.020236118,0.7,11.6
